"","HHID","ProvinceCode","HIndivNo","Region","Total_Exp_Month","Total_Exp_Month_nondurable","Size","EqSizeRevOECD","Weight","Decile","HSex","HEduLevel","HEduYears","HActivityState","Benzin_Exp","Transportation_Exp","Other_Exp","Benzin_Exp_Add","Mehr98","Yaraneh2","Yaraneh","BenzinP1","TransportationP1","Other_ExpP1","BenzinP2","TransportationP2","Other_ExpP2","BenzinShare","TransportationShare","Other_ExpShare","CV","Loss","Loss_Amount","taxicode","Loss_Share"
"445","21604567208",16,1,"Rural",4946097,3420000,3,2.2,117,2,"Male","University",16,"Unemployed",0,5e+05,4446097,0,207.7,1380000,1380000,0,758029.197080292,6740542.67810219,0,841412.408759124,8762705.48153285,0,0.10108980879267,0.89891019120733,-1381942.20450035,1,1942.20450035133,0,0.00039267416315356
"446","21606569514",16,1,"Rural",7052495,6314000,5,3.2,88,4,"Male","Secondary",12,"Employed",0,3e+05,6752495,0,207.7,2050000,2050000,0,454817.518248175,10237176.7262774,0,504847.445255474,13308329.7441606,0,0.0425381372124333,0.957461862787567,-2054333.46559608,1,4333.46559608192,1,0.00061445851377164
"447","21606569605",16,1,"Rural",6921796,6452000,4,2.7,88,5,"Female","Primary",5,"Income without Work",0,250000,6671796,0,207.7,1720000,1720000,0,379014.598540146,10114832.329927,0,420706.204379562,13149282.0289051,0,0.0361177937055643,0.963882206294436,-2025333.66582611,1,305333.665826108,0,0.0441119134146843
"448","21609571105",16,1,"Rural",7662245,7380000,5,3.4,77,4,"Male","Primary",5,"Employed",0,3e+05,7362245,0,207.7,2050000,2050000,0,454817.518248175,11161593.3321168,0,504847.445255474,14510071.3317518,0,0.0391530158589291,0.960846984141071,-2237242.05673899,1,187242.056738991,0,0.0244369707232007
"449","21609571505",16,1,"Rural",8277777.33333333,8051000,6,3.9,77,4,"Male","Primary",5,"Employed",0,860000,7417777.33333333,0,207.7,2050000,2050000,0,1303810.2189781,11245783.5922141,0,1447229.34306569,14619518.6698783,0,0.103892623027792,0.896107376972208,-2308126.43503596,1,258126.435035964,0,0.0311830609403479
"450","21610572311",16,1,"Rural",7532411.66666667,7250000,5,3.4,74,4,"Male","Illiterate",0,"Income without Work",0,120000,7412411.66666667,0,207.7,2050000,2050000,0,181927.00729927,11237648.9282238,0,201938.97810219,14608943.606691,0,0.0159311526388074,0.984068847361193,-2235105.83380154,1,185105.83380154,0,0.0245745774385503
"451","21701572605",17,1,"Rural",5249097,5093000,3,2.2,248,1,"Female","Primary",5,"Income without Work",0,270000,4979097,0,185.6,1380000,1380000,0,365781.02189781,6745404.40291971,0,406016.934306569,8769025.72379562,0,0.0514374186645817,0.948562581335418,-1519494.3680544,1,139494.368054396,0,0.0265749267072787
"452","21701572617",17,1,"Rural",8766995,8481000,5,3.6,248,1,"Male","Primary",5,"Employed",0,820000,7946995,0,185.6,2050000,2050000,0,1110890.51094891,10766147.9708029,0,1233088.46715328,13995992.3620438,0,0.0935326186452713,0.906467381354729,-2462904.45627752,1,412904.456277518,0,0.0470976037145588
"453","21701573114",17,1,"Rural",5557763.66666667,5290000,3,2.4,248,1,"Male","Illiterate",0,"Income without Work",0,320000,5237763.66666667,0,185.6,1380000,1380000,0,433518.248175182,7095831.65352798,0,481205.255474453,9224581.14958638,0,0.0575771153997132,0.942422884600287,-1601897.4136904,1,221897.413690398,0,0.0399256656092185
"454","21702575905",17,1,"Rural",6403129.33333333,6235000,4,2.7,152,1,"Male","University",16,"Employed",0,360000,6043129.33333333,0,185.6,1720000,1720000,0,487708.02919708,8186896.38150852,0,541355.912408759,10642965.2959611,0,0.0562225095354417,0.943777490464558,-1847320.28671361,1,127320.286713607,0,0.0198840723161415
