"","Region","NewArea","NewArea2","Decile","N","Max","Min","Mean"
"409","Urban",26,"Ghazvin","10",36,32548823.5294118,14932647.0588235,19975411.9749769
"410","Urban",27,"Golestan","9",141,11323448.2758621,8535000,9801117.13414944
"411","Urban",27,"Golestan","10",134,63087083.3333333,11358333.3333333,17839126.6682333
"412","Urban",27,"Golestan","5",133,5178235.29411765,4531176.47058824,4834025.48459611
"413","Urban",27,"Golestan","8",113,8524444.44444444,7055833.33333333,7682009.24496116
"414","Urban",27,"Golestan","4",105,4526227.27272727,3927272.72727273,4224213.30897852
"415","Urban",27,"Golestan","7",122,7040454.54545454,5997037.03703704,6497221.07459726
"416","Urban",27,"Golestan","6",111,5987916.66666667,5195833.33333333,5568577.56827096
"417","Urban",27,"Golestan","3",80,3907187.5,3355227.27272727,3651620.7120697
"418","Urban",27,"Golestan","2",71,3333111.11111111,2682962.96296296,3023695.57388001
"419","Urban",27,"Golestan","1",62,2676818.18181818,1160882.35294118,2252225.14511738
"420","Urban",28,"Khorasan_Shomali","5",92,6251818.18181818,5461818.18181818,5822627.28993472
"421","Urban",28,"Khorasan_Shomali","2",63,4027500,3266250,3619077.96209291
"422","Urban",28,"Khorasan_Shomali","4",88,5452662.96296296,4733870.96774194,5101754.75440137
"423","Urban",28,"Khorasan_Shomali","3",90,4720416.66666667,4035133.33333333,4375792.85036464
"424","Urban",28,"Khorasan_Shomali","6",83,7208636.36363636,6262941.17647059,6671035.02318572
"425","Urban",28,"Khorasan_Shomali","8",65,10254074.0740741,8545294.11764706,9370138.40306837
"426","Urban",28,"Khorasan_Shomali","1",44,3217937.5,1886764.70588235,2721635.00839264
"427","Urban",28,"Khorasan_Shomali","7",83,8468064.51612903,7218235.29411765,7803672.23757224
"428","Urban",28,"Khorasan_Shomali","9",57,13487727.2727273,10318148.1481481,11779188.7807731
"429","Urban",28,"Khorasan_Shomali","10",47,62490588.2352941,13773181.8181818,19863701.7284717
"430","Urban",29,"Khorasan_Jonoobi","1",133,3242045.45454545,918235.294117647,2587374.6177423
"431","Urban",29,"Khorasan_Jonoobi","3",89,4743103.44827586,4053333.33333333,4388835.0563198
"432","Urban",29,"Khorasan_Jonoobi","4",87,5475185.18518518,4746590.90909091,5064044.19216051
"433","Urban",29,"Khorasan_Jonoobi","8",30,10328823.5294118,8620370.37037037,9358153.50808151
"434","Urban",29,"Khorasan_Jonoobi","2",91,4044137.93103448,3252647.05882353,3656585.82158876
"435","Urban",29,"Khorasan_Jonoobi","7",34,8505909.09090909,7263703.7037037,7894452.15691959
"436","Urban",29,"Khorasan_Jonoobi","6",60,7215294.11764706,6307272.72727273,6719064.2824439
"437","Urban",29,"Khorasan_Jonoobi","9",47,13564772.7272727,10345294.1176471,11682617.1960985
"438","Urban",29,"Khorasan_Jonoobi","5",60,6270588.23529412,5501764.70588235,5897460.54760592
"439","Urban",29,"Khorasan_Jonoobi","10",18,26122941.1764706,13984083.3333333,16397120.1497851
"440","Urban",3001,"Sh_Karaj","1",12,4726258.06451613,1691764.70588235,3933427.76262897
"441","Urban",3001,"Sh_Karaj","7",35,12746500,10954090.9090909,11737837.8228378
"442","Urban",3001,"Sh_Karaj","5",32,9429677.41935484,8248750,8738913.33301512
"443","Urban",3001,"Sh_Karaj","4",24,8220296.55172414,7142272.72727273,7598356.23649575
"444","Urban",3001,"Sh_Karaj","3",16,7118235.29411765,6223793.10344828,6662544.28300565
"445","Urban",3001,"Sh_Karaj","8",46,15516732.2580645,12919827.5862069,14156183.4199026
"446","Urban",3001,"Sh_Karaj","2",32,6040783.33333333,4899951.31578947,5590383.5324437
"447","Urban",3001,"Sh_Karaj","10",44,52453000,20780454.5454545,30265586.5809746
"448","Urban",3001,"Sh_Karaj","6",35,10783407.4074074,9450779.09090909,10160900.1154935
"449","Urban",3001,"Sh_Karaj","9",45,20663033.6363636,15563548.3870968,17923498.9076312
"450","Urban",30,"Alborz","8",11,16743181.8181818,13962941.1764706,15494090.837476
"451","Urban",30,"Alborz","5",3,9031363.63636363,8961000,8993042.78074866
"452","Urban",30,"Alborz","7",14,13615208.3333333,11823387.0967742,12518950.67597
"453","Urban",30,"Alborz","3",14,7706303.7037037,6707083.33333333,7258196.72122189
"454","Urban",30,"Alborz","4",18,8910354.16666667,7729158.06451613,8264335.59476893
"455","Urban",30,"Alborz","2",16,6523387.09677419,5493888.88888889,6208239.1239896
"456","Urban",30,"Alborz","9",4,21461470.5882353,18056979.1666667,20189044.2569073
"457","Urban",30,"Alborz","6",8,11656562.962963,10660588.2352941,11114894.6920182
"458","Urban",30,"Alborz","1",7,5275976.89655172,3979347.82608696,4874041.09794309
"459","Urban",30,"Alborz","10",4,36231095.8333333,22449250,27706307.0465686
"460","Rural",0,"Markazi","1",36,2337500,1193750,1907957.7806141
"461","Rural",0,"Markazi","4",58,3986470.58823529,3499000,3742295.39959412
"462","Rural",0,"Markazi","3",56,3482222.22222222,2967000,3194270.6487162
"463","Rural",0,"Markazi","5",66,4550967.74193548,4007272.72727273,4319172.40313269
"464","Rural",0,"Markazi","7",88,5965000,5188421.05263158,5550184.51484059
"465","Rural",0,"Markazi","9",112,9303000,7188888.88888889,8114538.00317595
"466","Rural",0,"Markazi","2",59,2946250,2369166.66666667,2681079.79690016
"467","Rural",0,"Markazi","10",189,48695909.0909091,9334117.64705882,14754511.829235
"468","Rural",0,"Markazi","6",86,5180909.09090909,4552580.64516129,4826050.94832142
"469","Rural",0,"Markazi","8",93,7183529.41176471,5988235.29411765,6514252.9689808
"470","Rural",3,"Az_Sharghi","10",153,35992352.9411765,7545454.54545454,11710031.9904359
"471","Rural",3,"Az_Sharghi","8",79,5787083.33333333,4829411.76470588,5318958.91221062
"472","Rural",3,"Az_Sharghi","5",60,3665416.66666667,3223977.27272727,3446883.34314683
"473","Rural",3,"Az_Sharghi","6",65,4170454.54545454,3668888.88888889,3907774.76909162
"474","Rural",3,"Az_Sharghi","7",76,4820263.15789474,4178333.33333333,4529897.82535083
"475","Rural",3,"Az_Sharghi","2",22,2357941.17647059,1910344.82758621,2119394.21823117
"476","Rural",3,"Az_Sharghi","4",51,3206363.63636364,2814814.81481481,3009332.51116381
"477","Rural",3,"Az_Sharghi","9",107,7499166.66666667,5788541.66666667,6638004.82084964
"478","Rural",3,"Az_Sharghi","3",38,2808139.53488372,2389705.88235294,2608043.88163919
"479","Rural",3,"Az_Sharghi","1",23,1879545.45454545,1044117.64705882,1590132.54332645
"480","Rural",4,"Az_Gharbi","2",69,3101481.48148148,2460322.58064516,2771580.43664554
"481","Rural",4,"Az_Gharbi","4",58,4187727.27272727,3660416.66666667,3896185.81196738
"482","Rural",4,"Az_Gharbi","3",69,3655882.35294118,3110740.74074074,3360328.6290575
"483","Rural",4,"Az_Gharbi","1",60,2458333.33333333,550000,1988368.26797082
"484","Rural",4,"Az_Gharbi","5",63,4758684.21052632,4190416.66666667,4473981.92239725
"485","Rural",4,"Az_Gharbi","6",65,5415454.54545454,4777222.22222222,5083970.21721171
"486","Rural",4,"Az_Gharbi","8",60,7510000,6284074.07407407,6846936.43103722
"487","Rural",4,"Az_Gharbi","10",43,21645588.2352941,9897500,12794954.2218264
"488","Rural",4,"Az_Gharbi","9",56,9515454.54545454,7552941.17647059,8328554.23918681
"489","Rural",4,"Az_Gharbi","7",74,6237291.66666667,5435185.18518518,5828316.167333
"490","Rural",5,"Kermanshah","8",100,4936294.11764706,4121363.63636364,4507948.36775858
"491","Rural",5,"Kermanshah","2",5,1996600,1757352.94117647,1880370.38321904
"492","Rural",5,"Kermanshah","7",70,4084000,3589629.62962963,3821969.50861441
"493","Rural",5,"Kermanshah","9",177,6412666.77419355,4950916.66666667,5643750.37735325
