"","FoodType","ProvinceCode","N","Average_New","KCalories","Protein","Average_Protein"
"440","Shir",25,317,59.8528306058776,2.5,0.0321428571428571,1.92384098376035
"441","Sibzamini",25,429,60.816052141059,0.9,0.03,1.82448156423177
"442","Tokhmemorgh",25,405,18.9277644614116,1.4,0.0882352941176471,1.6700968642422
"443","Berenj",26,52,24.815065861132,2.4,0.09,2.23335592750188
"444","Ghand",26,206,32.8883255617096,4,0.03,0.986649766851288
"445","Goosht",26,54,3.9569674433557,2.5,0.225,0.890317674755032
"446","Hoboobat",26,121,12.436624815325,3,0.1,1.2436624815325
"447","Khoshkbar",26,105,2.39223350516985,6,0.2,0.47844670103397
"448","Mahi",26,80,3.41208689821476,1,0.22,0.750659117607248
"449","Makarooni",26,184,20.1952965628149,3.6,0.0642857142857143,1.29826906475239
"450","Mast",26,133,32.9185520267675,1.5,0.04,1.3167420810707
"451","Mive",26,205,199.284703483407,0.5,0,0
"452","Morgh",26,209,59.0821634172175,2,0.22,12.9980759517879
"453","Nan",26,214,358.669552541849,2.5,0.10125,36.3152921948622
"454","Panir",26,181,11.0125779890145,2.5,0.333333333333333,3.6708593296715
"455","Roghan",26,211,32.8903159198173,8,0,0
"456","Sabzi",26,218,142.097817350823,0.5,0.04,5.68391269403294
"457","Shir",26,192,65.0506131394596,2.5,0.0321428571428571,2.09091256519692
"458","Sibzamini",26,213,52.7042639206736,0.9,0.03,1.58112791762021
"459","Tokhmemorgh",26,213,15.7775361692129,1.4,0.0882352941176471,1.39213554434231
"460","Berenj",27,102,18.373893912271,2.4,0.09,1.65365045210439
"461","Ghand",27,427,25.8788237613662,4,0.03,0.776364712840987
