"","Decile","Year","Total_Exp_Month_Per","G01","G03","G04","G05","G06","G07","G08","G09","G10","G11","G12","G13"
"52","5",95,833.185356960187,216.117314182208,5.1738239531252,19.4330451957482,88726.4119870558,30848.0406086493,562.679386165584,3318.2334786173,83794.8949109459,258667.529263461,108539.475377677,394761.623219956,3448568.69145673
"53","3",95,771.947151178023,211.291602433415,7.62724734044126,12.6329638606924,81969.1630893447,27849.1193503669,927.910158544358,2017.28476474894,65089.4382576617,145256.301025007,80013.2768155716,327989.694491649,2596582.03149025
"54","10",95,877.382856147853,280.364491375039,8.94880310412639,47.1553248498442,96303.9534947038,45255.4958127657,1699.32536775807,8741.91110951114,299934.861320051,621597.565625073,1171715.99861287,902685.44647822,10684741.2832368
"55","6",95,846.172992124046,209.757435520098,8.53288007889645,12.0443247146965,90329.2366299307,29969.4069331274,1175.32253536593,2101.71907325613,91999.2958633194,272659.821048476,139412.740717504,376548.445113354,4121927.41753175
"56","7",95,861.390147773422,249.378953074491,7.61223617600221,19.481569718562,92034.2738285387,36645.4635350767,1057.78893003657,3357.77664053892,129283.67432087,334476.271006293,176825.305668187,447250.484139644,4949148.42096312
"57","8",95,891.230350323004,232.546676806171,7.1493729359539,19.0831437388026,96156.0087496028,32168.3632578892,1148.44605054607,3639.83420004453,129429.42019527,441049.133218889,198943.426569575,470354.189440764,5524319.71908951
"58","9",95,883.782030994472,275.352172524141,5.6550699979659,27.0018319011241,95983.7519822504,41805.0508460757,853.057477566579,5433.53451120209,156771.745107542,608220.303911253,373606.204888342,573013.946917428,7085157.11727864
"59","4",95,825.877089296647,235.256602645242,10.3074913665961,13.2102158105734,87409.6894065754,32150.6929640985,1625.89982313908,2458.79894987005,91926.3197846103,247229.241386528,95707.7411771417,364546.8950045,3366739.05932193
"60","2",95,736.188134186084,197.812258463901,3.93053913910655,6.45112714280594,77206.602976695,24844.7004583992,483.12252023959,1179.48666859463,54497.8227932163,148257.993716182,64397.2708547625,286037.496208494,2186742.57629811
"61","9",96,825.839721427651,283.978438918219,10.7236693299419,35.6980159863918,91598.2559474778,45233.0867507241,1862.00996313139,7044.40850450976,199314.509934654,522784.778445028,300413.159772462,710201.792076933,8324478.96745266
"62","4",96,769.186344277013,194.166840733579,11.5407125962742,11.2245661020222,84132.3788808109,26742.4801084983,1768.08278181032,2184.9328565517,105334.08092877,242123.411418353,134945.664668748,418491.759174633,4161971.31596516
"63","6",96,762.255625551215,272.89389778081,7.41543594447678,27.8107040368654,84170.1064509557,40464.2302925873,1330.42701801975,5286.40176907025,152974.696474405,397520.064763014,180376.132606437,468610.458081359,5310421.98256352
"64","7",96,768.68840957933,280.036747565303,14.8264383344518,28.3309833519463,82799.8711512667,40251.7624545429,2205.88455530219,5434.25742873201,156549.586479687,408899.197728159,197772.978735916,555415.5945635,6574474.84215457
"65","5",96,767.037714353269,243.232383062003,11.5064557907849,15.4840649313292,83618.8376840024,33183.1361098227,1723.83808792654,2739.92252613748,110959.178605193,262341.555752485,133168.316988619,430227.161345773,4227230.50981962
"66","8",96,832.727216975365,266.676444616094,10.8559891362377,25.7489126080245,93990.4230526899,41749.0126974704,1901.42617131821,5066.24546309489,190470.690558044,463040.286609488,287994.017083889,572077.900529146,6909332.15771632
"67","3",96,720.784819447799,236.007341880087,8.74794965083479,11.3546129434469,78187.1199224161,33225.2167883908,1374.9887011424,2191.7713850837,75867.6089010435,212561.713724883,91689.9843782495,371365.374759827,3140098.09849272
"68","10",96,844.196456833868,324.167447904208,16.2271946179806,61.3709803518279,95454.0302098474,53440.7325622322,3046.53962851514,10900.5720973915,533311.413340656,857995.711537661,1573936.70638037,1035268.36172006,13827907.6706645
"69","2",96,684.576501121568,217.451983922587,5.59300049783417,6.26654223806585,73937.317199573,26502.1712188502,810.178478691481,1282.89568629656,61694.1384026137,188797.339173721,89375.5038610114,339160.114354504,2581021.56054501
"70","1",96,610.033901214102,177.36295218005,2.51136527282255,7.72144046623754,65148.0786126152,20539.0715701986,397.005875816557,832.965115975819,39652.1754495331,130355.359030136,50567.1792924257,253801.554856659,1876265.22711683
"71","6",97,693.372054371151,247.822490621687,9.5380987588252,17.7204093201039,97325.7280423505,42880.075130811,1630.61901481876,3935.62330932608,155778.652748264,395947.245925701,165426.36895695,604669.391937078,6174001.7038169
"72","10",97,757.153324368114,319.512475048607,14.2692320155541,55.5202086843811,112242.434678872,62332.9189565781,2553.01717433571,12853.6955605962,654629.911211925,819523.902003673,2023747.43907971,1266487.18081659,16022087.8751087
"73","9",97,719.489840750154,289.011995438349,14.4084841025059,38.0619902062852,103664.297362153,54861.7705092483,2586.44310085824,9255.81956295415,308979.640707943,600956.350425334,449944.585877683,837161.826859467,10369681.0479425
"74","7",97,705.913038128967,273.471744013124,8.19855195780824,23.0364804679116,99592.3165823445,48335.3055146721,1327.58102597124,5625.20275656947,202935.620764726,399320.435230327,290793.014672063,646505.919801919,6706889.62176915
"75","8",97,742.318669634923,262.529565053773,12.1559263860425,22.6997572800861,105832.186639674,47703.5045899152,1867.89522842271,5255.0792089084,218341.531553589,470937.831863311,342133.574164082,727617.466010144,8043857.45460264
"76","5",97,725.808743662694,248.035601236531,8.47908392513419,11.9795874984036,100251.159537253,42909.7939072834,1296.67225637849,3318.36064332577,140512.138591018,382088.488875281,182192.180074972,564646.787551985,5325622.18088341
"77","4",97,705.062101921481,223.574573654562,8.35394114459282,10.6613288463082,95339.7668945025,36840.0569018118,1361.18370654588,2851.20301669923,112673.630392459,285911.894219554,157557.831776701,510620.212394961,4481485.2371152
"78","2",97,645.464369349255,245.726359493473,6.27122733438487,7.69281764231929,85546.7504300209,40355.9417379895,1060.71597868498,1827.65973297244,77074.2841964718,177376.294330731,79503.4035837513,416351.482823775,2906538.9191849
"79","3",97,702.681956114305,237.636863060064,8.12053909567367,14.1232852726947,95350.1444519602,38872.6721195303,1173.91571740989,3031.20123140233,117229.831278891,308381.703579264,120687.144450654,497958.366780361,3826790.33464091
"80","1",97,619.674303870249,197.08028313628,6.28177709675931,4.33369334099955,80837.7830005046,29921.3372786749,1112.13454109485,854.067064149371,61078.4288827921,141479.676964852,41169.1027819509,322522.969154905,2085529.44883773
"81","10",98,707.226803918464,303.082190706624,12.6935010152129,44.5603301488912,137624.37827886,83031.1509470629,4166.45824150816,14294.2989583333,432916.295067997,757399.197751381,1888657.11182167,1549494.5668052,16408865.4178639
"82","9",98,682.891931769737,272.259454803401,19.4315188452495,29.89717237775,128613.920022888,71441.4523426955,5712.32556540502,9889.55914984175,305112.341972763,676744.760382268,499022.460779513,942895.212716216,11613887.7989743
"83","6",98,694.424290035656,236.557292211507,10.2038794780365,16.9093777193399,131114.345153932,57386.6444987656,3868.36778811965,5513.16680122098,182384.248310072,370403.982289836,308609.03488072,786363.537935612,7157288.23897836
"84","5",98,678.151140748828,230.188850258485,11.3957617521055,13.0774723050003,127934.85149218,53667.5542070097,2832.19070205958,4538.9831463776,156836.121005361,364333.075327305,206805.228540955,701225.36319253,6329853.70225675
"85","7",98,696.231349150207,251.75002588714,13.9343336201934,23.1625013237219,130718.302688461,58302.7450267078,4151.16548119819,8533.88801232373,228500.737267473,523286.21015969,289127.707987384,862877.992654316,8277907.79313123
"86","8",98,688.737791010621,289.827513337652,11.7266686855507,23.3153368051787,130511.959835136,70862.6166837027,4162.19967667065,8120.65371403543,238649.820193217,532447.837937418,481696.047567614,913782.909436928,9907537.62411269
"87","4",98,645.104664629466,249.335642202286,10.7409713974899,7.41544252048267,119820.01900632,56243.7497075159,3110.9547100539,2778.73965294038,124163.801060285,341946.616839915,145791.754100239,657011.749541583,5515113.32249261
"88","3",98,618.502364400312,228.495626567527,14.0567515253585,18.5579074036727,116748.331736491,53154.3607561574,3747.94189184821,7028.25832744393,116350.465890582,301369.913049626,125885.585239671,586452.98260232,4654706.53896866
"89","1",98,538.145222155436,248.851623233839,9.52781156277122,11.0325112988555,98585.7088796746,49254.9770493185,1813.29524172734,2559.61359914807,73666.0528147931,211198.440258092,82506.5484071603,461225.109767433,2815406.64750279
"90","2",98,698.745419863226,238.215077514198,5.62595961233587,9.31260591494498,124170.319033241,52414.5831840071,1155.19752926804,3400.50682025393,116185.988075083,210344.232485417,95173.0219147225,565709.701209084,3503546.92541828
