,Region,NewArea,NewArea2,Decile,N,Mean
439,Urban,2105,Sh_Yazd,5,16,3512255.657
468,Urban,2202,Sh_Bandarabas,5,21,2109176.906
722,Urban,2301,Sh_Tehran,5,93,2218959.242
533,Urban,3001,Sh_Karaj,5,22,1107500.78
451,Rural,0,Markazi,5,60,1112380.296
351,Rural,1,Gilan,5,35,1038054.854
378,Rural,2,Mazandaran,5,48,2142594.911
347,Rural,3,Az_Sharghi,5,58,1382986.349
306,Rural,4,Az_Gharbi,5,62,663068.4066
262,Rural,5,Kermanshah,5,81,1111037.859
267,Rural,6,Khoozestan,5,85,998447.156
341,Rural,7,Fars,5,74,1462982.862
220,Rural,8,Kerman,5,39,533500.6828
308,Rural,9,Khorasan_Razavi,5,81,1067973.878
361,Rural,10,Esfahan,5,57,1546233.382
169,Rural,11,Sistan,5,36,295864.1097
353,Rural,12,Kordestan,5,35,1240886.007
280,Rural,13,Hamedan,5,54,1025779.399
403,Rural,14,Chaharmahal,5,34,2236189.546
186,Rural,15,Lorestan,5,66,706337.5922
251,Rural,16,Ilam,5,72,848094.5248
462,Rural,17,Kohkilooye,5,61,818272.8719
342,Rural,18,Booshehr,5,63,1247842.788
368,Rural,19,Zanjan,5,42,1398515.688
246,Rural,20,Semnan,5,48,692122.1881
376,Rural,21,Yazd,5,73,1664130.394
355,Rural,22,Hormozgan,5,59,1874545.836
399,Rural,23,Tehran,5,57,722257.7351
401,Rural,24,Ardebil,5,45,1243715.089
315,Rural,25,Ghom,5,38,983964.3458
337,Rural,26,Ghazvin,5,70,1261889.395
226,Rural,27,Golestan,5,68,929461.3853
269,Rural,28,Khorasan_Shomali,5,80,816503.4985
240,Rural,29,Khorasan_Jonoobi,5,39,828137.7198
452,Rural,30,Alborz,5,60,1178673.627
460,Urban,0,Markazi,6,37,2453960.833
469,Urban,1,Gilan,6,63,1636772.13
528,Urban,1,Sh_Arak,6,23,1483130.607
454,Urban,2,Mazandaran,6,51,2202660.068
364,Urban,3,Az_Sharghi,6,33,2045277.057
348,Urban,4,Az_Gharbi,6,49,807258.3202
396,Urban,5,Kermanshah,6,49,1938850.2
400,Urban,6,Khoozestan,6,46,1904524.641
442,Urban,7,Fars,6,45,2331051.596
322,Urban,8,Kerman,6,53,1039338.476
407,Urban,9,Khorasan_Razavi,6,38,1369456.304
422,Urban,10,Esfahan,6,38,2479640.188
256,Urban,11,Sistan,6,59,1036905.986
458,Urban,12,Kordestan,6,71,1445429.155
331,Urban,13,Hamedan,6,77,1222373.073
557,Urban,14,Chaharmahal,6,68,2807429.993
336,Urban,15,Lorestan,6,61,2134990.12
359,Urban,16,Ilam,6,65,1280759.901
493,Urban,17,Kohkilooye,6,52,1294171.921
438,Urban,18,Booshehr,6,60,1711189.247
381,Urban,19,Zanjan,6,57,1949729.232
299,Urban,20,Semnan,6,60,1760608.922
459,Urban,21,Yazd,6,46,2057755.271
531,Urban,22,Hormozgan,6,49,1964849.572
498,Urban,23,Tehran,6,55,790354.6979
433,Urban,24,Ardebil,6,53,2209072.276
464,Urban,25,Ghom,6,61,2404944.646
440,Urban,26,Ghazvin,6,62,2060534.61
360,Urban,27,Golestan,6,105,1717126.239
343,Urban,28,Khorasan_Shomali,6,96,1595907.65
345,Urban,29,Khorasan_Jonoobi,6,60,1571537.134
553,Urban,30,Alborz,6,16,1526814.114
520,Urban,105,Sh_Rasht,6,13,1643155.576
426,Urban,303,Sh_Tabriz,6,31,1986497.312
373,Urban,401,Sh_Urmia,6,9,648947.2764
434,Urban,502,Sh_Kermanshah,6,19,1114990.759
623,Urban,603,Sh_Ahvaz,6,12,2499292.662
506,Urban,707,Sh_Shiraz,6,37,1355786.117
566,Urban,808,Sh_Kerman,6,7,2575349.546
479,Urban,916,Sh_Mashhad,6,30,1210908.049
549,Urban,1002,Sh_Esfahan,6,37,2331852.884
406,Urban,1105,Sh_Zahedan,6,13,1181378.892
450,Urban,1304,Sh_Hamedan,6,12,1691236.039
501,Urban,2105,Sh_Yazd,6,15,2853748.982
539,Urban,2202,Sh_Bandarabas,6,21,2266087.605
753,Urban,2301,Sh_Tehran,6,85,3280645.065
590,Urban,3001,Sh_Karaj,6,27,1706618.708
523,Rural,0,Markazi,6,60,1607254.955
421,Rural,1,Gilan,6,38,1194949.9
447,Rural,2,Mazandaran,6,63,1753476.066
423,Rural,3,Az_Sharghi,6,54,1292191.919
372,Rural,4,Az_Gharbi,6,67,472088.1475
333,Rural,5,Kermanshah,6,90,1105312.662
338,Rural,6,Khoozestan,6,72,1316710.518
411,Rural,7,Fars,6,80,1281466.516
275,Rural,8,Kerman,6,35,594578.4088
374,Rural,9,Khorasan_Razavi,6,61,870418.3042
432,Rural,10,Esfahan,6,65,1997532.445
230,Rural,11,Sistan,6,29,217567.3924
428,Rural,12,Kordestan,6,29,1512206.532
352,Rural,13,Hamedan,6,45,1238503.208
474,Rural,14,Chaharmahal,6,36,1448664.58
250,Rural,15,Lorestan,6,63,1007939.454
316,Rural,16,Ilam,6,62,727016.055
534,Rural,17,Kohkilooye,6,31,1141904.613
417,Rural,18,Booshehr,6,59,1545859.11
443,Rural,19,Zanjan,6,44,1919585
312,Rural,20,Semnan,6,42,1032433.622
446,Rural,21,Yazd,6,65,2047832.618
431,Rural,22,Hormozgan,6,59,1761620.019
470,Rural,23,Tehran,6,62,1090599.386
471,Rural,24,Ardebil,6,33,1248099.438
385,Rural,25,Ghom,6,37,1178952.322
408,Rural,26,Ghazvin,6,72,1845146.273
286,Rural,27,Golestan,6,69,1363464.854
340,Rural,28,Khorasan_Shomali,6,56,1051631.154
305,Rural,29,Khorasan_Jonoobi,6,47,1101313.464
525,Rural,30,Alborz,6,64,1102661.526
530,Urban,0,Markazi,7,50,1781592.34
540,Urban,1,Gilan,7,83,2557098.749
591,Urban,1,Sh_Arak,7,22,1536451.389
526,Urban,2,Mazandaran,7,60,2273981.283
444,Urban,3,Az_Sharghi,7,35,2622523.588
430,Urban,4,Az_Gharbi,7,61,1036445.888
467,Urban,5,Kermanshah,7,59,1687296.461
475,Urban,6,Khoozestan,7,50,1541533.791
516,Urban,7,Fars,7,71,2808114.832
391,Urban,8,Kerman,7,41,1353635.635
480,Urban,9,Khorasan_Razavi,7,33,2095238.327
496,Urban,10,Esfahan,7,36,2532735.431
332,Urban,11,Sistan,7,40,1001024.452
536,Urban,12,Kordestan,7,66,1357750.931
402,Urban,13,Hamedan,7,55,1976069.871
619,Urban,14,Chaharmahal,7,79,3386472.635
410,Urban,15,Lorestan,7,64,1928426.234
435,Urban,16,Ilam,7,61,1601895.067
560,Urban,17,Kohkilooye,7,73,1527529.634
514,Urban,18,Booshehr,7,63,1800518.98
456,Urban,19,Zanjan,7,79,2209955.879
370,Urban,20,Semnan,7,55,1290657.181
532,Urban,21,Yazd,7,50,2871318.736
593,Urban,22,Hormozgan,7,61,3383781.065
563,Urban,23,Tehran,7,41,1161040.712
505,Urban,24,Ardebil,7,47,2343704.084
537,Urban,25,Ghom,7,57,1501086.95
513,Urban,26,Ghazvin,7,46,2313173.415
437,Urban,27,Golestan,7,111,2166374.466
420,Urban,28,Khorasan_Shomali,7,90,1806127.571
