"","Year","Exp","ProvinceCode"
"168",89,2659658.92896522,17
"169",89,2654564.9754576,18
"170",89,3131356.04439865,19
"171",89,2963218.30019037,20
"172",89,2835614.61114928,21
"173",89,2252011.54812614,22
"174",89,4824415.33266084,23
"175",89,3428131.00475544,24
"176",89,2773359.62258978,25
"177",89,2963921.91775176,26
"178",89,2548661.62932606,27
"179",89,2351652.55139899,28
"180",89,2074726.45711366,29
"181",90,4649132.95495172,0
"182",90,3882556.76696442,1
"183",90,3888208.93693983,2
"184",90,3760681.31902411,3
"185",90,3755746.11049313,4
"186",90,3891589.11370303,5
"187",90,3504867.45784564,6
"188",90,4850589.38243844,7
"189",90,2861655.79653869,8
"190",90,3211990.10325867,9
"191",90,4994650.50904269,10
"192",90,1877973.24345231,11
"193",90,3314897.7334663,12
"194",90,3148462.66064926,13
"195",90,4364601.53918229,14
"196",90,3731172.93129334,15
"197",90,4278332.10678089,16
"198",90,2927662.31264464,17
"199",90,3326215.98687414,18
"200",90,3769383.03789098,19
"201",90,3645793.45310112,20
"202",90,3264253.74128547,21
"203",90,3283082.3451935,22
"204",90,6185833.79324888,23
"205",90,4118456.71543342,24
"206",90,3766332.76699193,25
"207",90,3850002.82146212,26
"208",90,2958172.04417635,27
"209",90,2835354.35510291,28
"210",90,2657185.4434785,29
"211",90,3742700.51846607,30
"212",91,5691387.29426754,0
"213",91,5243630.47496741,1
"214",91,4621509.05732268,2
"215",91,4642306.8259119,3
"216",91,4758268.79772582,4
"217",91,5228841.56709243,5
"218",91,4752537.76039488,6
"219",91,6085490.91170986,7
"220",91,3662750.45962208,8
"221",91,4279098.43270638,9
"222",91,5794920.42290849,10
"223",91,2491990.73340106,11
"224",91,3860297.79738529,12
"225",91,4367216.83132406,13
"226",91,5085327.56402601,14
"227",91,4471261.02780923,15
"228",91,2931513.98957329,16
"229",91,3623401.48917537,17
"230",91,3273144.25288948,18
"231",91,5548215.64416941,19
"232",91,4387187.25635976,20
"233",91,4391985.16823332,21
"234",91,3953540.53596348,22
"235",91,8122110.18612931,23
