,???,???,HLiterate,Knowledge,tenure,area,room,car,oven,frez_refrig,electricity,bathroom,ego,pipewater,???? ???????? ??? ?? ??? ?????,heatfuel,hotwater,G0451,G0452,G0453,G044,Energy_Share,Subsidy,Food_Share,Low_Calorie,Low_Protein,FoodKCaloriesHH_Per,No_Insurance,Area_Per,skeleton,House_High_Share,Tech_low,Equip_low
16,91,5,0.257524587,0.107182172,0.721989922,28.06109241,1.083176399,0.676097348,0.018413076,0.991147413,0.000100918,0.050797416,0.756816723,0.014797146,0.204826524,0.206522183,0.207972579,0.01582086,0.018035524,0.005028292,0.01042026,0.049304937,0.193333461,0.32815849,0.398873141,0.218702342,2509.271164,0.24127815,0.185157791,0.070437849,0.086930676,0.262103376,0.030742022
27,92,5,0.226625651,0.111969177,0.710392049,27.3761848,1.098548479,0.648178779,0.022799596,0.984806418,0.001349019,0.049150046,0.766653706,0.028531858,0.202985677,0.204813282,0.205661824,0.01383911,0.015946815,0.003886621,0.008991526,0.042664072,0.166705545,0.335841798,0.438671801,0.227213492,2387.281955,0.212997486,0.171542165,0.065056406,0.100497019,0.293497094,0.029231005
38,93,5,0.21194218,0.076356769,0.701511093,28.223564,1.138403495,0.65868312,0.01521463,0.990613331,0.000237692,0.038413399,0.730060973,0.016792529,0.166641035,0.168758233,0.169143507,0.016327879,0.019636547,0.002823805,0.009370363,0.048158593,0.129721612,0.306357352,0.469364315,0.247840638,2281.889257,0.241038374,0.15386063,0.067785929,0.104414244,0.303543227,0.022742772
44,94,5,0.213774256,0.062209081,0.716357288,29.20225227,1.162615231,0.657077719,0.015924825,0.994109647,0,0.027649487,0.722594712,0.015426719,0.15087186,0.153007971,0.154949086,0.017292588,0.021299518,0.002749458,0.010436682,0.051778247,0.118443373,0.299885262,0.469334402,0.233650634,2307.257901,0.153734542,0.14561877,0.059270763,0.091470308,0.281317568,0.023103324
52,95,5,0.218319729,0.072682432,0.699717467,29.13002415,1.168175924,0.639056743,0.017236712,0.992795388,0.000236781,0.026755939,0.689838369,0.015491061,0.141593804,0.14362609,0.144237254,0.018710041,0.022075479,0.002440689,0.011717449,0.054943657,0.108072637,0.300421861,0.468027378,0.23858656,2301.940005,0.134368307,0.139908604,0.055021714,0.120629168,0.279497802,0.018634359
65,96,5,0.203035262,0.073994415,0.695582496,29.24767224,1.143257621,0.594297697,0.011750555,0.997034499,0,0.016972878,0.679527276,0.013441208,0.122126971,0.123193228,0.125232365,0.018717213,0.019726763,0.001926497,0.01225075,0.052621223,0.097685631,0.288202483,0.505793701,0.261587126,2280.081013,0.140513747,0.130256374,0.049784574,0.114163797,0.248436202,0.015511439
76,97,5,0.182157318,0.066581156,0.700783659,30.11881327,1.187724754,0.561178339,0.010872844,0.995554058,3.95E-05,0.02463985,0.690108163,0.017257783,0.121135612,0.128217294,0.125631826,0.017332553,0.016417485,0.001634635,0.011269563,0.046654235,0.078970056,0.291321886,0.553521231,0.31836742,2164.192671,0.163877895,0.118472035,0.047973463,0.096012155,0.248134748,0.014125141
81,98,5,0.194671775,0.077556931,0.736805421,30.82688534,1.211265588,0.557064711,0.011653333,0.993316115,0,0.022085316,0.706830315,0.017917559,0.112522649,0.120164587,0.116951688,0.014748159,0.014821432,0.001358004,0.010403898,0.041331493,0.064757858,0.306845471,0.564986014,0.309506064,2140.354239,0.136119442,0.119201961,0.046874561,0.084854916,0.242444907,0.016077592
6,90,6,0.238051978,0.09324234,0.735823702,28.80024411,1.065984781,0.670206101,0.020482248,0.990626018,0.001044731,0.049589412,0.771578668,0.017550404,0.207372906,0.208778535,0.209377965,0.017221771,0.025595155,0.006317827,0.012271726,0.061406479,0.153836579,0.300823423,0.325852005,0.150524706,2750.28801,0.227097263,0.176901396,0.068033995,0.090039325,0.235593961,0.035511273
17,91,6,0.251869279,0.090219605,0.767940965,29.6030899,1.132921582,0.630942231,0.019092808,0.991411768,0.001363735,0.048023495,0.767784434,0.015661925,0.201690498,0.203071787,0.203629203,0.01477217,0.016700307,0.00497227,0.009440548,0.045885296,0.172501378,0.320572787,0.363112561,0.189209524,2672.520755,0.206620857,0.141057145,0.06887464,0.078045503,0.220419647,0.028415982
26,92,6,0.189671232,0.107655483,0.699495058,29.99106126,1.172586415,0.610374472,0.015029948,0.991828451,0.000463637,0.040663598,0.75022343,0.021249374,0.1871612,0.188346516,0.188753324,0.01339732,0.01551404,0.003259461,0.00891114,0.041081962,0.146498169,0.327037608,0.390337266,0.189090717,2528.312846,0.188429856,0.123429801,0.07294479,0.09306708,0.275402382,0.021762395
36,93,6,0.194798271,0.066516288,0.721901468,31.2026299,1.217440009,0.581124784,0.01126555,0.990260999,0.00050815,0.029914333,0.689553245,0.017283154,0.167124036,0.168871881,0.170815977,0.015320742,0.017870191,0.002929211,0.008808637,0.04492878,0.114197591,0.301753087,0.426869606,0.203732129,2441.134222,0.202309818,0.112581278,0.068589068,0.092973762,0.251228051,0.015713942
45,94,6,0.18581243,0.059313137,0.732268093,30.57110653,1.199714671,0.570034456,0.012635497,0.991721344,0,0.023190483,0.7043639,0.010908911,0.153777666,0.158381507,0.158864284,0.016523492,0.019571528,0.003094421,0.010235341,0.049424782,0.103642006,0.288761611,0.415776814,0.207437385,2430.154995,0.1152738,0.097043112,0.05547757,0.086402933,0.242938722,0.013852025
56,95,6,0.191002665,0.064407135,0.748006937,31.28458809,1.21466938,0.590401875,0.01420615,0.992812674,0.00014639,0.014908054,0.689271568,0.012480147,0.134531776,0.135944663,0.136542843,0.018347548,0.02130035,0.002619882,0.011684803,0.053952583,0.097626724,0.286414619,0.442276391,0.216586687,2368.044199,0.110080787,0.103882587,0.046259691,0.097729017,0.243717662,0.022076097
63,96,6,0.181550924,0.075085711,0.732929758,31.83262168,1.232516422,0.525687183,0.013119523,0.990083715,0,0.020031625,0.681934311,0.01151761,0.119752109,0.120724339,0.121558098,0.017805197,0.018506869,0.001985555,0.01159995,0.04989757,0.084893835,0.278607709,0.436759347,0.216675663,2419.481743,0.127375172,0.08959728,0.044335789,0.100254924,0.220912749,0.013985236
71,97,6,0.180757503,0.071002691,0.713886159,31.82464508,1.255416008,0.498496222,0.010563161,0.996780973,0,0.012028216,0.669839414,0.012980441,0.112755848,0.116897406,0.116970037,0.015969189,0.014963128,0.001373003,0.011090642,0.043395961,0.067901161,0.279033278,0.493038482,0.259427052,2350.154469,0.138595947,0.089694578,0.043137858,0.103290174,0.218186422,0.013988043
84,98,6,0.171254818,0.047014348,0.742389473,32.69289167,1.277275802,0.514898356,0.010092665,0.994456582,0,0.011777073,0.632093712,0.017862419,0.095483435,0.10006482,0.09777298,0.013847312,0.013919666,0.000983994,0.009576947,0.038327918,0.055312101,0.296515623,0.494953252,0.268830432,2295.259933,0.125378411,0.086465268,0.041970256,0.087156035,0.215226918,0.016325525
