"","FoodType","ProvinceCode","N","Average_New","KCalories","Protein","Average_Protein"
"167","Sabzi",9,273,107.722689100111,0.5,0.04,4.30890756400442
"168","Shir",9,200,77.7782129848435,2.5,0.0321428571428571,2.50001398879854
"169","Sibzamini",9,277,54.6928068248855,0.9,0.03,1.64078420474656
"170","Tokhmemorgh",9,263,23.3725776778855,1.4,0.0882352941176471,2.06228626569578
"171","Berenj",10,196,54.0806587966033,1.2,0.09,4.86725929169429
"172","Ghand",10,355,35.9109560417858,4,0.03,1.07732868125357
"173","Goosht",10,184,8.54088922456252,2.5,0.225,1.92170007552657
"174","Hoboobat",10,200,12.0379684639026,3,0.1,1.20379684639026
"175","Khoshkbar",10,83,2.93403124538007,6,0.2,0.586806249076015
"176","Mahi",10,101,2.94159200679034,1,0.22,0.647150241493876
"177","Makarooni",10,292,19.2229591245414,3.6,0.0642857142857143,1.23576165800624
"178","Mast",10,330,59.4013176560931,1.5,0.04,2.37605270624373
"179","Mive",10,405,198.575674644136,0.5,0,0
"180","Morgh",10,305,37.8030380246483,2,0.22,8.31666836542262
"181","Nan",10,409,358.463437991445,2.5,0.10125,36.2944230966338
"182","Panir",10,401,15.8436795635415,2.5,0.333333333333333,5.2812265211805
"183","Roghan",10,378,32.7494093206578,8,0,0
"184","Sabzi",10,418,140.188794262784,0.5,0.04,5.60755177051135
"185","Shir",10,313,67.2068168610455,2.5,0.0321428571428571,2.16021911339075
"186","Sibzamini",10,410,57.3114322081524,0.9,0.03,1.71934296624457
"187","Tokhmemorgh",10,383,19.3740475498001,1.4,0.0882352941176471,1.70947478380589
"188","Berenj",11,298,28.9081202505727,1.2,0.09,2.60173082255154
"189","Ghand",11,521,44.1497696320738,4,0.03,1.32449308896221
"190","Goosht",11,5,0.132522405653354,2.5,0.225,0.0298175412720048
"191","Hoboobat",11,462,21.4660193188543,3,0.1,2.14660193188543
"192","Khoshkbar",11,111,0.559863489329451,6,0.2,0.11197269786589
"193","Mahi",11,192,6.67970290082943,1,0.22,1.46953463818247
"194","Makarooni",11,287,91.6378685617019,3.6,0.0642857142857143,5.89100583610941
"195","Mast",11,293,22.7954616157825,1.5,0.04,0.911818464631302
"196","Mive",11,289,49.6064850881278,0.5,0,0
"197","Morgh",11,531,60.7723458995079,2,0.22,13.3699160978917
"198","Nan",11,424,380.861120324164,2.5,0.10125,38.5621884328216
"199","Panir",11,314,3.69503561645353,2.5,0.333333333333333,1.23167853881784
"200","Roghan",11,420,30.9835042636829,8,0,0
"201","Sabzi",11,554,148.12257032759,0.5,0.04,5.92490281310361
"202","Shir",11,213,18.2612933845792,2.5,0.0321428571428571,0.58697014450433
"203","Sibzamini",11,463,44.6482374279712,0.9,0.03,1.33944712283914
"204","Tokhmemorgh",11,320,10.1619997043209,1.4,0.0882352941176471,0.896647032734193
"205","Berenj",12,71,70.5874808108583,1.2,0.09,6.35287327297725
"206","Ghand",12,97,32.0879230860316,4,0.03,0.962637692580948
"207","Goosht",12,19,2.77138978936176,2.5,0.225,0.623562702606396
"208","Hoboobat",12,60,10.2051715145828,3,0.1,1.02051715145828
"209","Khoshkbar",12,69,5.93017656428596,6,0.2,1.18603531285719
"210","Mahi",12,20,2.76577734200843,1,0.22,0.608471015241855
"211","Makarooni",12,79,20.6003795841273,3.6,0.0642857142857143,1.32431011612247
"212","Mast",12,75,26.5473144566907,1.5,0.04,1.06189257826763
"213","Mive",12,114,132.258723236035,0.5,0,0
