"","Year","Bargh_Share","Gaz_Share","Decile","Energy_Share"
"125",89,0.0131898158927493,0.0143925318667972,"2",0.0437043000966464
"126",89,0.00897385597932524,0.0112396828906569,"7",0.0302764990359432
"127",89,0.0085782695322112,0.0103233376122289,"8",0.0291005462154743
"128",89,0.0108861688759839,0.0121639600402207,"4",0.036298434893153
"129",89,0.0115201883640336,0.0138965813840498,"3",0.0399006303127679
"130",89,0.0138388716425731,0.015960158774801,"1",0.0488228536577602
"131",90,0.0205210131035003,0.023926073031754,"2",0.0654082526679512
"132",90,0.0219862111628362,0.0248738861875428,"1",0.069400908155548
"133",90,0.0175843931169446,0.0240451259939997,"6",0.0599923107178418
"134",90,0.020085644142698,0.0232840170420207,"3",0.0635611289995143
"135",90,0.0154731307838765,0.0260256106194843,"8",0.0573134612686507
"136",90,0.0176240360845462,0.0251978731590735,"5",0.0621615899036518
"137",90,0.0119653044762547,0.0216599054608171,"10",0.0447695300153236
"138",90,0.0139361156746434,0.0238681538700022,"9",0.0517739532902719
"139",90,0.0191469890661437,0.0253614491002757,"4",0.0640828215542544
"140",90,0.0161063391705918,0.0250431993303179,"7",0.0580129771219112
"141",91,0.0125005363742684,0.0150495104791987,"8",0.0395005290377161
"142",91,0.00941421678297981,0.0115454144357632,"10",0.0300168008530798
"143",91,0.0117944183838675,0.0136891424575656,"9",0.0365589861664093
"144",91,0.0176975667691959,0.018287122387174,"3",0.051635503300699
"145",91,0.0153881228072341,0.0173727591112506,"5",0.0484376054317022
"146",91,0.0137417972176381,0.0158069265427476,"7",0.0436666836578833
"147",91,0.0147323457713676,0.0168152722817111,"6",0.0453738724662629
"148",91,0.0159493521117517,0.0170483465107941,"4",0.0488760876684281
"149",91,0.0197526459934035,0.0191849579803866,"2",0.0569068731121601
"150",91,0.0213393228386316,0.0195273083422772,"1",0.0588524893763126
"151",92,0.0136395356121619,0.0152844943379547,"5",0.0418507260222979
"152",92,0.0176326660449761,0.0183135893551072,"2",0.0510925984599737
"153",92,0.0083596599734474,0.00993171754627042,"10",0.0271310747187504
"154",92,0.0150312588283259,0.0160166487427711,"4",0.044103281591241
"155",92,0.0128971888311823,0.0149086504487088,"6",0.0395412493967486
"156",92,0.011785353124206,0.0140927599399398,"7",0.0367921328154733
"157",92,0.0100269540195525,0.0123217286660971,"9",0.0316821606321618
"158",92,0.015783868789262,0.0169057990841933,"3",0.0466058619511709
"159",92,0.0112459281200706,0.013101439044817,"8",0.0341451571041013
"160",92,0.0194066198440926,0.0211153670175636,"1",0.0569421509296247
"161",93,0.0149358030609761,0.0176647480774944,"6",0.0448034354778961
"162",93,0.0204496290454594,0.022772838479951,"2",0.0583041270978882
